[00:12:35] [INFO] received Windows console close event; shutting log-core down
[00:14:03] [INFO] received Windows console close event; shutting log-core down
[00:14:43] [INFO] received Windows console close event; shutting log-core down
[00:15:17] [INFO] received Windows console close event; shutting log-core down
[00:17:12] [INFO] received Windows console close event; shutting log-core down
[21:17:36] [INFO] received Windows console close event; shutting log-core down
[21:18:06] [INFO] received Windows console close event; shutting log-core down
[14:53:00] [INFO] received Windows console close event; shutting log-core down
[17:23:33] [INFO] received Windows console close event; shutting log-core down
[17:51:53] [INFO] received Windows console close event; shutting log-core down
[17:52:33] [INFO] received Windows console close event; shutting log-core down
[17:54:36] [INFO] received Windows console close event; shutting log-core down
[18:05:43] [INFO] received Windows console close event; shutting log-core down
[18:06:35] [INFO] received Windows console close event; shutting log-core down
[18:08:01] [INFO] received Windows console close event; shutting log-core down
[18:16:36] [INFO] received Windows console close event; shutting log-core down
[18:19:05] [INFO] received Windows console close event; shutting log-core down
[18:20:34] [INFO] received Windows console close event; shutting log-core down
[18:21:52] [INFO] received Windows console close event; shutting log-core down
[18:22:17] [INFO] received Windows console close event; shutting log-core down
[19:52:58] [INFO] received Windows console close event; shutting log-core down
[19:56:02] [INFO] received Windows console close event; shutting log-core down
[19:56:43] [INFO] received Windows console close event; shutting log-core down
[19:57:47] [INFO] received Windows console close event; shutting log-core down
[20:03:25] [INFO] received Windows console close event; shutting log-core down
[20:03:46] [INFO] received Windows console close event; shutting log-core down
[20:04:01] [INFO] received Windows console close event; shutting log-core down
[20:04:26] [INFO] received Windows console close event; shutting log-core down
[20:08:02] [INFO] received Windows console close event; shutting log-core down
[20:21:11] [INFO] received Windows console close event; shutting log-core down
[20:31:25] [INFO] received Windows console close event; shutting log-core down
[20:32:29] [INFO] received Windows console close event; shutting log-core down
[20:35:30] [INFO] received Windows console close event; shutting log-core down
[20:36:28] [INFO] received Windows console close event; shutting log-core down
[20:38:25] [INFO] received Windows console close event; shutting log-core down
[19:56:59] [INFO] received Windows console close event; shutting log-core down
[22:22:27] [INFO] received Windows console close event; shutting log-core down
[19:23:54] [INFO] received Windows console close event; shutting log-core down
[20:28:25] [INFO] received Windows console close event; shutting log-core down
[21:39:59] [INFO] received Windows console close event; shutting log-core down
[19:54:31] [INFO] received Windows console close event; shutting log-core down
[19:56:40] [INFO] received Windows console close event; shutting log-core down
[21:52:27] [INFO] received Windows console close event; shutting log-core down
[17:39:34] [INFO] received Windows console close event; shutting log-core down
[19:09:02] [INFO] received Windows console close event; shutting log-core down
[19:10:39] [INFO] received Windows console close event; shutting log-core down
[19:11:32] [INFO] received Windows console close event; shutting log-core down
[19:15:50] [INFO] received Windows console close event; shutting log-core down
[19:19:50] [INFO] received Windows console close event; shutting log-core down
[19:25:16] [INFO] received Windows console close event; shutting log-core down
[19:28:24] [INFO] received Windows console close event; shutting log-core down
[19:33:18] [INFO] received Windows console close event; shutting log-core down
[19:33:56] [INFO] received Windows console close event; shutting log-core down
[19:35:39] [INFO] received Windows console close event; shutting log-core down
[19:43:46] [INFO] received Windows console close event; shutting log-core down
[19:46:22] [INFO] received Windows console close event; shutting log-core down
[19:50:20] [INFO] received Windows console close event; shutting log-core down
[20:02:09] [INFO] received Windows console close event; shutting log-core down
[21:26:19] [INFO] received Windows console close event; shutting log-core down
[21:27:13] [INFO] received Windows console close event; shutting log-core down
[21:27:26] [INFO] received Windows console close event; shutting log-core down
[21:44:30] [INFO] received Windows console close event; shutting log-core down
[21:44:39] [INFO] received Windows console close event; shutting log-core down
[21:54:31] [INFO] received Windows console close event; shutting log-core down
[21:57:12] [INFO] received Windows console close event; shutting log-core down
[21:58:06] [INFO] received Windows console close event; shutting log-core down
[22:12:39] [INFO] received Windows console close event; shutting log-core down
[17:58:44] [INFO] received Windows console close event; shutting log-core down
[21:17:01] [INFO] received Windows console close event; shutting log-core down
[21:21:08] [INFO] received Windows console close event; shutting log-core down
[21:22:23] [INFO] received Windows console close event; shutting log-core down
[21:24:52] [INFO] received Windows console close event; shutting log-core down
[21:27:31] [INFO] received Windows console close event; shutting log-core down
[21:33:04] [INFO] received Windows console close event; shutting log-core down
[21:42:28] [INFO] received Windows console close event; shutting log-core down
[21:52:18] [INFO] received Windows console close event; shutting log-core down
[21:56:34] [INFO] received Windows console close event; shutting log-core down
[22:02:38] [INFO] received Windows console close event; shutting log-core down
[22:04:05] [INFO] received Windows console close event; shutting log-core down
[22:04:15] [INFO] received Windows console close event; shutting log-core down
[22:05:49] [INFO] received Windows console close event; shutting log-core down
[23:12:09] [INFO] received Windows console close event; shutting log-core down
[23:12:39] [INFO] received Windows console close event; shutting log-core down
[23:16:24] [INFO] received Windows console close event; shutting log-core down
[23:38:25] [INFO] received Windows console close event; shutting log-core down
[14:08:10] [INFO] received Windows console close event; shutting log-core down
[14:13:26] [INFO] received Windows console close event; shutting log-core down
[14:19:51] [INFO] received Windows console close event; shutting log-core down
[14:27:18] [INFO] received Windows console close event; shutting log-core down
[14:27:47] [INFO] received Windows console close event; shutting log-core down
[14:36:23] [INFO] received Windows console close event; shutting log-core down
[14:36:45] [INFO] received Windows console close event; shutting log-core down
[14:44:12] [INFO] received Windows console close event; shutting log-core down
[14:45:43] [INFO] received Windows console close event; shutting log-core down
[14:45:47] [INFO] received Windows console close event; shutting log-core down
[14:46:46] [INFO] received Windows console close event; shutting log-core down
[14:47:06] [INFO] received Windows console close event; shutting log-core down
[14:48:12] [INFO] received Windows console close event; shutting log-core down
[14:55:11] [INFO] received Windows console close event; shutting log-core down
[14:58:15] [INFO] received Windows console close event; shutting log-core down
[15:00:44] [INFO] received Windows console close event; shutting log-core down
[15:11:55] [INFO] received Windows console close event; shutting log-core down
